GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.proof.model,Inscripcion,7,39,0,0,1,6,2,8,2,8
backend,com.proof.model,User,359,0,62,0,16,0,57,0,26,0
backend,com.proof.model,Profesor,9,17,0,0,1,4,1,5,1,5
backend,com.proof.model,Administrativo,9,17,0,0,1,4,1,5,1,5
backend,com.proof.model,Persona,37,29,0,0,5,4,6,8,6,8
backend,com.proof.model,Curso,56,0,0,0,8,0,12,0,12,0
backend,com.proof.model,Estudiante,23,3,0,0,4,1,5,1,5,1
backend,com.proof.model,Role,15,0,0,0,3,0,1,0,1,0
backend,com.proof.model,User.UserBuilder,72,0,0,0,1,0,10,0,10,0
backend,com.proof.dto,AuthResponse.AuthResponseBuilder,18,0,0,0,1,0,4,0,4,0
backend,com.proof.dto,LoginRequest,128,0,22,0,6,0,22,0,11,0
backend,com.proof.dto,RegisterRequest.RegisterRequestBuilder,54,0,0,0,1,0,8,0,8,0
backend,com.proof.dto,LoginRequest.LoginRequestBuilder,27,0,0,0,1,0,5,0,5,0
backend,com.proof.dto,AuthResponse,85,0,14,0,5,0,16,0,9,0
backend,com.proof.dto,RegisterRequest,257,0,46,0,9,0,40,0,17,0
backend,com.proof.config,AplicationConfig,43,0,0,0,9,0,7,0,7,0
backend,com.proof.config,SecurityConfig,50,0,0,0,12,0,5,0,5,0
backend,com.proof.controller,EstudianteController,90,0,8,0,19,0,10,0,6,0
backend,com.proof.controller,AdministrativoController,74,0,4,0,19,0,8,0,6,0
backend,com.proof.controller,AuthController,18,0,0,0,3,0,3,0,3,0
backend,com.proof.controller,ProfesorController,56,0,4,0,13,0,8,0,6,0
backend,com.proof.controller,InscripcionController,74,0,4,0,19,0,8,0,6,0
backend,com.proof.controller,CursoController,71,0,4,0,19,0,8,0,6,0
backend,com.proof.controller,PersonaController,48,0,0,0,12,0,7,0,7,0
backend,com.proof,App,8,0,0,0,3,0,2,0,2,0
backend,com.proof.exception,GlobalExceptionHandler,29,0,0,0,6,0,4,0,4,0
backend,com.proof.exception,RecursoNoEncontradoException,0,4,0,0,0,2,0,1,0,1
backend,com.proof.jwt,JwtAuthenticationFilter,81,0,12,0,19,0,9,0,3,0
backend,com.proof.service,JwtService,97,0,4,0,25,0,12,0,10,0
backend,com.proof.service,CursoService,75,0,2,0,16,0,9,0,8,0
backend,com.proof.service,AuthService,80,0,0,0,21,0,3,0,3,0
backend,com.proof.service,ProfesorService,0,67,0,2,0,14,0,9,0,8
backend,com.proof.service,InscripcionService,0,71,0,2,0,15,0,9,0,8
backend,com.proof.service,PersonaService,45,32,0,0,8,8,3,6,3,6
backend,com.proof.service,EstudianteService,64,0,2,0,14,0,9,0,8,0
backend,com.proof.service,AdministrativoService,0,67,0,2,0,14,0,9,0,8
